station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,131,59
T2航站楼,7,205,71
T2航站楼,8,135,80
T2航站楼,9,183,86
T2航站楼,10,130,140
T2航站楼,11,129,124
T2航站楼,12,106,129
T2航站楼,13,146,82
T2航站楼,14,124,122
T2航站楼,15,158,163
T2航站楼,16,163,110
T2航站楼,17,287,235
T2航站楼,18,302,162
T2航站楼,19,322,132
T2航站楼,20,254,201
T2航站楼,21,123,111
T2航站楼,22,109,74
T2航站楼,23,18,5
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,150,74
T3航站楼,7,243,72
T3航站楼,8,181,73
T3航站楼,9,226,76
T3航站楼,10,194,137
T3航站楼,11,166,154
T3航站楼,12,212,164
T3航站楼,13,183,213
T3航站楼,14,151,200
T3航站楼,15,203,189
T3航站楼,16,196,248
T3航站楼,17,330,223
T3航站楼,18,468,231
T3航站楼,19,278,283
T3航站楼,20,154,152
T3航站楼,21,149,98
T3航站楼,22,126,72
T3航站楼,23,0,0
七里庄,0,1,1
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,1
七里庄,5,7,78
七里庄,6,160,675
七里庄,7,869,1774
七里庄,8,1349,1538
七里庄,9,551,661
七里庄,10,376,424
七里庄,11,321,395
七里庄,12,384,392
七里庄,13,383,406
七里庄,14,418,409
七里庄,15,417,451
七里庄,16,520,564
七里庄,17,989,1102
七里庄,18,1468,892
七里庄,19,980,516
七里庄,20,603,369
七里庄,21,517,364
七里庄,22,393,132
七里庄,23,130,6
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,0
万安,6,5,14
万安,7,14,34
万安,8,24,27
万安,9,25,13
万安,10,10,15
万安,11,6,7
万安,12,13,7
万安,13,12,8
万安,14,5,43
万安,15,9,8
万安,16,8,23
万安,17,12,21
万安,18,25,12
万安,19,12,25
万安,20,9,7
万安,21,5,6
万安,22,4,2
万安,23,0,0
万寿路,0,0,2
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,4
万寿路,5,10,86
万寿路,6,196,614
万寿路,7,1048,1958
万寿路,8,1456,1558
万寿路,9,654,620
万寿路,10,399,345
万寿路,11,378,323
万寿路,12,399,404
万寿路,13,449,422
万寿路,14,461,413
万寿路,15,496,474
万寿路,16,598,704
万寿路,17,1134,1470
万寿路,18,1483,1103
万寿路,19,881,599
万寿路,20,558,643
万寿路,21,425,545
万寿路,22,366,250
万寿路,23,118,24
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,1,27
万源街,6,63,112
万源街,7,413,308
万源街,8,1374,376
万源街,9,464,219
万源街,10,192,131
万源街,11,175,185
万源街,12,199,190
万源街,13,196,225
万源街,14,245,186
万源街,15,189,193
万源街,16,239,414
万源街,17,300,920
万源街,18,435,645
万源街,19,368,293
万源街,20,207,242
万源街,21,124,189
万源街,22,75,87
万源街,23,36,9
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,0
三元桥,5,79,125
三元桥,6,667,1012
三元桥,7,2590,1864
三元桥,8,7042,2261
三元桥,9,4484,1437
三元桥,10,1697,961
三元桥,11,1194,984
三元桥,12,1116,1068
三元桥,13,1277,1115
三元桥,14,1076,1144
三元桥,15,1150,1298
三元桥,16,1305,1692
三元桥,17,2039,4012
三元桥,18,2765,5279
三元桥,19,1871,3069
三元桥,20,1114,1906
三元桥,21,802,1305
三元桥,22,550,670
三元桥,23,172,97
上地,0,1,1
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,6,154
上地,6,265,1000
上地,7,1407,2419
上地,8,3984,2139
上地,9,2713,1147
上地,10,892,631
上地,11,541,560
上地,12,574,761
上地,13,664,635
上地,14,626,632
上地,15,657,684
上地,16,873,938
上地,17,1374,2006
上地,18,2032,2786
上地,19,1766,2047
上地,20,1070,1322
上地,21,952,891
上地,22,677,377
上地,23,199,25
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,0,29
上岸,6,26,263
上岸,7,121,644
上岸,8,131,396
上岸,9,73,114
上岸,10,47,69
上岸,11,51,83
上岸,12,53,82
上岸,13,75,73
上岸,14,66,71
上岸,15,86,59
上岸,16,125,70
上岸,17,220,123
上岸,18,362,137
上岸,19,333,48
上岸,20,209,16
上岸,21,177,15
上岸,22,121,13
上岸,23,56,1
东单,0,0,3
东单,1,0,0
东单,2,0,0
东单,3,0,1
东单,4,0,0
东单,5,56,43
东单,6,828,140
东单,7,3660,370
东单,8,6695,676
东单,9,3545,833
东单,10,1462,994
东单,11,900,1111
东单,12,832,857
东单,13,1004,833
东单,14,801,950
东单,15,615,1180
东单,16,530,1556
东单,17,675,3543
东单,18,806,3608
东单,19,465,1688
东单,20,227,1138
东单,21,172,989
东单,22,131,642
东单,23,78,45
东四,0,0,0
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,21,53
东四,6,449,276
东四,7,1992,809
东四,8,2859,803
东四,9,1218,510
东四,10,658,449
东四,11,488,479
东四,12,516,487
东四,13,730,567
东四,14,592,610
东四,15,544,932
东四,16,538,1362
东四,17,787,2468
东四,18,942,1666
东四,19,562,831
东四,20,345,745
东四,21,276,431
东四,22,228,335
东四,23,94,33
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,0
东四十条,5,33,72
东四十条,6,446,265
东四十条,7,2319,901
东四十条,8,6145,877
东四十条,9,3678,622
东四十条,10,1288,639
东四十条,11,777,741
东四十条,12,682,750
东四十条,13,1308,703
东四十条,14,816,820
东四十条,15,634,1098
东四十条,16,599,1999
东四十条,17,1008,3574
东四十条,18,1371,4013
东四十条,19,766,1802
东四十条,20,379,1087
东四十条,21,296,1085
东四十条,22,280,432
东四十条,23,56,30
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,1,3
东夏园,5,1,87
东夏园,6,91,368
东夏园,7,277,728
东夏园,8,625,652
东夏园,9,309,210
东夏园,10,129,179
东夏园,11,91,152
东夏园,12,103,211
东夏园,13,130,179
东夏园,14,142,169
东夏园,15,126,203
东夏园,16,201,280
东夏园,17,308,592
东夏园,18,613,453
东夏园,19,603,153
东夏园,20,290,77
东夏园,21,186,33
东夏园,22,177,14
东夏园,23,81,0
东大桥,0,1,5
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,6
东大桥,5,56,73
东大桥,6,802,237
东大桥,7,2903,708
东大桥,8,6403,831
东大桥,9,4932,838
东大桥,10,1881,788
东大桥,11,1188,873
东大桥,12,989,972
东大桥,13,1141,949
东大桥,14,1018,1082
东大桥,15,856,1333
东大桥,16,840,1732
东大桥,17,1176,3802
东大桥,18,1508,4752
东大桥,19,972,2857
东大桥,20,481,1876
东大桥,21,303,1544
东大桥,22,285,977
东大桥,23,80,115
东湖渠,0,0,0
东湖渠,1,0,0
