station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,124,80
T2航站楼,7,198,66
T2航站楼,8,199,66
T2航站楼,9,195,153
T2航站楼,10,180,230
T2航站楼,11,217,222
T2航站楼,12,190,284
T2航站楼,13,206,189
T2航站楼,14,216,213
T2航站楼,15,185,177
T2航站楼,16,197,295
T2航站楼,17,203,273
T2航站楼,18,132,242
T2航站楼,19,160,207
T2航站楼,20,124,271
T2航站楼,21,81,206
T2航站楼,22,64,67
T2航站楼,23,10,4
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,168,82
T3航站楼,7,189,65
T3航站楼,8,199,81
T3航站楼,9,273,116
T3航站楼,10,184,209
T3航站楼,11,168,224
T3航站楼,12,192,231
T3航站楼,13,211,264
T3航站楼,14,208,221
T3航站楼,15,253,212
T3航站楼,16,229,238
T3航站楼,17,200,327
T3航站楼,18,167,210
T3航站楼,19,121,262
T3航站楼,20,96,235
T3航站楼,21,87,173
T3航站楼,22,79,105
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,0
七里庄,5,3,51
七里庄,6,61,173
七里庄,7,260,372
七里庄,8,279,476
七里庄,9,241,591
七里庄,10,242,410
七里庄,11,331,370
七里庄,12,274,314
七里庄,13,282,347
七里庄,14,324,351
七里庄,15,412,274
七里庄,16,455,307
七里庄,17,553,377
七里庄,18,538,333
七里庄,19,408,246
七里庄,20,343,239
七里庄,21,322,219
七里庄,22,329,62
七里庄,23,104,3
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,1,2
万安,6,1,5
万安,7,4,12
万安,8,10,6
万安,9,18,34
万安,10,14,44
万安,11,15,46
万安,12,31,22
万安,13,26,29
万安,14,21,14
万安,15,24,7
万安,16,31,7
万安,17,14,10
万安,18,19,13
万安,19,9,5
万安,20,4,2
万安,21,6,2
万安,22,2,4
万安,23,1,0
万寿路,0,1,2
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,3
万寿路,5,6,50
万寿路,6,81,130
万寿路,7,312,313
万寿路,8,295,404
万寿路,9,322,481
万寿路,10,297,499
万寿路,11,318,336
万寿路,12,335,303
万寿路,13,303,359
万寿路,14,357,390
万寿路,15,368,362
万寿路,16,386,410
万寿路,17,491,503
万寿路,18,510,432
万寿路,19,369,354
万寿路,20,281,364
万寿路,21,316,304
万寿路,22,309,170
万寿路,23,141,12
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,1,13
万源街,6,31,48
万源街,7,121,97
万源街,8,228,142
万源街,9,160,145
万源街,10,123,180
万源街,11,145,100
万源街,12,144,143
万源街,13,178,146
万源街,14,167,137
万源街,15,186,158
万源街,16,197,133
万源街,17,223,183
万源街,18,223,171
万源街,19,179,136
万源街,20,121,116
万源街,21,110,88
万源街,22,81,71
万源街,23,39,4
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,1
三元桥,5,78,117
三元桥,6,495,798
三元桥,7,809,816
三元桥,8,875,835
三元桥,9,1043,945
三元桥,10,1079,978
三元桥,11,973,828
三元桥,12,999,913
三元桥,13,1105,1062
三元桥,14,1077,940
三元桥,15,1100,891
三元桥,16,1256,1018
三元桥,17,1249,1186
三元桥,18,1329,1252
三元桥,19,1055,939
三元桥,20,824,840
三元桥,21,757,639
三元桥,22,494,391
三元桥,23,190,68
上地,0,0,1
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,7,106
上地,6,100,433
上地,7,330,517
上地,8,368,673
上地,9,400,782
上地,10,383,727
上地,11,332,575
上地,12,406,507
上地,13,437,465
上地,14,511,472
上地,15,563,460
上地,16,721,470
上地,17,837,520
上地,18,943,476
上地,19,834,361
上地,20,644,282
上地,21,735,277
上地,22,629,114
上地,23,214,13
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,1,17
上岸,6,25,57
上岸,7,102,114
上岸,8,46,131
上岸,9,51,157
上岸,10,58,151
上岸,11,42,113
上岸,12,37,85
上岸,13,55,70
上岸,14,55,53
上岸,15,109,78
上岸,16,99,94
上岸,17,136,98
上岸,18,125,97
上岸,19,120,67
上岸,20,108,38
上岸,21,93,20
上岸,22,91,10
上岸,23,35,0
东单,0,0,3
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,2
东单,5,16,47
东单,6,248,83
东单,7,554,172
东单,8,714,286
东单,9,840,285
东单,10,787,298
东单,11,717,295
东单,12,605,414
东单,13,564,745
东单,14,643,695
东单,15,601,755
东单,16,517,938
东单,17,516,1075
东单,18,423,955
东单,19,302,605
东单,20,208,574
东单,21,196,593
东单,22,134,448
东单,23,70,24
东四,0,1,0
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,13,47
东四,6,257,125
东四,7,448,227
东四,8,590,346
东四,9,605,406
东四,10,634,362
东四,11,578,316
东四,12,613,384
东四,13,604,530
东四,14,545,537
东四,15,506,632
东四,16,464,809
东四,17,486,1004
东四,18,467,577
东四,19,332,441
东四,20,294,360
东四,21,272,301
东四,22,205,201
东四,23,75,14
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,7
东四十条,5,30,110
东四十条,6,278,143
东四十条,7,628,227
东四十条,8,589,297
东四十条,9,541,313
东四十条,10,437,343
东四十条,11,425,262
东四十条,12,361,268
东四十条,13,329,334
东四十条,14,398,386
东四十条,15,358,443
东四十条,16,466,495
东四十条,17,482,598
东四十条,18,555,584
东四十条,19,400,493
东四十条,20,270,392
东四十条,21,285,572
东四十条,22,267,260
东四十条,23,83,15
东夏园,0,2,2
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,1,2
东夏园,5,3,61
东夏园,6,60,201
东夏园,7,128,243
东夏园,8,170,281
东夏园,9,154,244
东夏园,10,152,177
东夏园,11,91,154
东夏园,12,107,144
东夏园,13,103,139
东夏园,14,119,144
东夏园,15,156,159
东夏园,16,185,175
东夏园,17,233,200
东夏园,18,309,178
东夏园,19,263,96
东夏园,20,160,60
东夏园,21,177,36
东夏园,22,130,9
东夏园,23,77,1
东大桥,0,0,4
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,7
东大桥,5,18,74
东大桥,6,262,128
东大桥,7,734,202
东大桥,8,981,331
东大桥,9,1074,450
东大桥,10,990,514
东大桥,11,861,459
东大桥,12,790,508
东大桥,13,833,607
东大桥,14,867,712
东大桥,15,728,809
东大桥,16,740,887
东大桥,17,774,912
东大桥,18,708,953
东大桥,19,463,828
东大桥,20,397,884
东大桥,21,317,815
东大桥,22,242,488
东大桥,23,100,58
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
东湖渠,3,0,0
东湖渠,4,0,5
东湖渠,5,1,21
东湖渠,6,56,81
东湖渠,7,191,164
东湖渠,8,287,233
东湖渠,9,240,270
