station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,76,66
T2航站楼,7,126,104
T2航站楼,8,180,76
T2航站楼,9,234,149
T2航站楼,10,183,118
T2航站楼,11,155,98
T2航站楼,12,142,91
T2航站楼,13,162,89
T2航站楼,14,124,84
T2航站楼,15,132,72
T2航站楼,16,133,119
T2航站楼,17,183,128
T2航站楼,18,142,170
T2航站楼,19,178,115
T2航站楼,20,132,119
T2航站楼,21,88,102
T2航站楼,22,51,47
T2航站楼,23,20,4
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,156,96
T3航站楼,7,293,73
T3航站楼,8,251,87
T3航站楼,9,327,99
T3航站楼,10,301,137
T3航站楼,11,239,114
T3航站楼,12,198,138
T3航站楼,13,207,116
T3航站楼,14,227,147
T3航站楼,15,197,153
T3航站楼,16,144,132
T3航站楼,17,237,140
T3航站楼,18,256,170
T3航站楼,19,163,149
T3航站楼,20,125,184
T3航站楼,21,88,107
T3航站楼,22,70,42
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,1,3
七里庄,5,4,76
七里庄,6,178,741
七里庄,7,950,1813
七里庄,8,1561,1530
七里庄,9,559,664
七里庄,10,370,390
七里庄,11,341,385
七里庄,12,298,379
七里庄,13,315,423
七里庄,14,346,378
七里庄,15,376,372
七里庄,16,483,437
七里庄,17,971,1147
七里庄,18,1396,877
七里庄,19,1034,456
七里庄,20,570,314
七里庄,21,425,234
七里庄,22,289,77
七里庄,23,57,3
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,0
万安,6,1,11
万安,7,10,29
万安,8,24,22
万安,9,15,14
万安,10,5,6
万安,11,9,9
万安,12,5,11
万安,13,5,3
万安,14,5,6
万安,15,4,5
万安,16,6,9
万安,17,8,26
万安,18,16,8
万安,19,8,9
万安,20,8,0
万安,21,5,2
万安,22,2,0
万安,23,0,0
万寿路,0,0,0
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,1
万寿路,5,12,94
万寿路,6,224,631
万寿路,7,1069,2115
万寿路,8,1613,1614
万寿路,9,676,662
万寿路,10,383,349
万寿路,11,359,300
万寿路,12,333,331
万寿路,13,384,372
万寿路,14,440,337
万寿路,15,380,440
万寿路,16,505,527
万寿路,17,1158,1408
万寿路,18,1423,989
万寿路,19,884,513
万寿路,20,519,536
万寿路,21,408,424
万寿路,22,237,179
万寿路,23,78,13
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,1,27
万源街,6,80,126
万源街,7,440,300
万源街,8,1441,348
万源街,9,504,208
万源街,10,196,163
万源街,11,203,157
万源街,12,204,210
万源街,13,197,174
万源街,14,207,182
万源街,15,162,168
万源街,16,188,292
万源街,17,234,875
万源街,18,388,650
万源街,19,305,274
万源街,20,166,209
万源街,21,113,128
万源街,22,67,73
万源街,23,15,3
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,3
三元桥,5,63,141
三元桥,6,656,907
三元桥,7,2848,1977
三元桥,8,7661,2533
三元桥,9,5043,1743
三元桥,10,1934,1095
三元桥,11,1131,916
三元桥,12,1097,1015
三元桥,13,1152,1042
三元桥,14,1085,1059
三元桥,15,967,1126
三元桥,16,1157,1476
三元桥,17,1618,3771
三元桥,18,2306,5140
三元桥,19,1628,2914
三元桥,20,972,1694
三元桥,21,716,1048
三元桥,22,392,434
三元桥,23,103,38
上地,0,0,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,12,153
上地,6,269,1105
上地,7,1500,1482
上地,8,4270,1564
上地,9,3026,1507
上地,10,923,740
上地,11,517,506
上地,12,506,579
上地,13,615,577
上地,14,547,496
上地,15,566,529
上地,16,807,792
上地,17,1288,994
上地,18,2044,1246
上地,19,1686,1463
上地,20,1010,1776
上地,21,802,873
上地,22,508,228
上地,23,117,12
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,0,46
上岸,6,27,266
上岸,7,115,717
上岸,8,129,417
上岸,9,68,143
上岸,10,74,73
上岸,11,46,68
上岸,12,55,76
上岸,13,59,75
上岸,14,60,61
上岸,15,69,56
上岸,16,121,65
上岸,17,223,109
上岸,18,451,120
上岸,19,354,38
上岸,20,210,31
上岸,21,187,16
上岸,22,114,7
上岸,23,30,1
东单,0,0,0
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,0
东单,5,97,38
东单,6,968,142
东单,7,3799,400
东单,8,7116,668
东单,9,3925,838
东单,10,1511,1029
东单,11,884,1043
东单,12,927,890
东单,13,1224,800
东单,14,857,998
东单,15,688,1267
东单,16,511,1653
东单,17,620,3913
东单,18,616,3881
东单,19,376,1875
东单,20,190,1172
东单,21,152,861
东单,22,94,535
东单,23,54,52
东四,0,0,0
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,22,56
东四,6,486,253
东四,7,1966,862
东四,8,2927,768
东四,9,1372,518
东四,10,640,464
东四,11,447,404
东四,12,473,425
东四,13,543,442
东四,14,514,589
东四,15,443,700
东四,16,524,1169
东四,17,706,2587
东四,18,882,1768
东四,19,517,861
东四,20,339,549
东四,21,257,408
东四,22,163,183
东四,23,56,20
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,0
东四十条,5,36,76
东四十条,6,483,290
东四十条,7,2419,962
东四十条,8,6292,906
东四十条,9,4118,565
东四十条,10,1222,661
东四十条,11,666,668
东四十条,12,691,695
东四十条,13,785,624
东四十条,14,708,753
东四十条,15,612,898
东四十条,16,636,1362
东四十条,17,850,3710
东四十条,18,963,4102
东四十条,19,539,1913
东四十条,20,313,1049
东四十条,21,261,714
东四十条,22,154,272
东四十条,23,27,12
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,0,4
东夏园,5,0,72
东夏园,6,106,419
东夏园,7,313,765
东夏园,8,722,713
东夏园,9,291,279
东夏园,10,132,145
东夏园,11,95,140
东夏园,12,112,136
东夏园,13,108,116
东夏园,14,136,110
东夏园,15,103,121
东夏园,16,167,233
东夏园,17,321,568
东夏园,18,581,341
东夏园,19,587,140
东夏园,20,279,64
东夏园,21,148,57
东夏园,22,138,10
东夏园,23,74,1
东大桥,0,0,2
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,2
东大桥,5,52,77
东大桥,6,827,260
东大桥,7,3024,661
东大桥,8,6592,820
东大桥,9,5160,787
东大桥,10,1897,733
东大桥,11,1008,822
东大桥,12,984,734
东大桥,13,1063,867
东大桥,14,1030,1066
东大桥,15,715,1179
东大桥,16,662,1542
东大桥,17,949,3679
东大桥,18,1132,5190
东大桥,19,632,2782
东大桥,20,351,1979
东大桥,21,272,1336
东大桥,22,165,637
东大桥,23,47,62
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
