station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,74,66
T2航站楼,7,114,93
T2航站楼,8,171,58
T2航站楼,9,246,96
T2航站楼,10,157,142
T2航站楼,11,113,122
T2航站楼,12,108,92
T2航站楼,13,133,99
T2航站楼,14,128,84
T2航站楼,15,143,77
T2航站楼,16,112,105
T2航站楼,17,161,137
T2航站楼,18,152,125
T2航站楼,19,139,119
T2航站楼,20,134,117
T2航站楼,21,106,126
T2航站楼,22,64,50
T2航站楼,23,12,4
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,108,70
T3航站楼,7,224,73
T3航站楼,8,246,73
T3航站楼,9,269,94
T3航站楼,10,257,122
T3航站楼,11,243,107
T3航站楼,12,166,128
T3航站楼,13,220,120
T3航站楼,14,168,125
T3航站楼,15,160,124
T3航站楼,16,158,141
T3航站楼,17,210,176
T3航站楼,18,178,199
T3航站楼,19,138,149
T3航站楼,20,113,128
T3航站楼,21,96,132
T3航站楼,22,75,71
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,2
七里庄,5,5,79
七里庄,6,172,690
七里庄,7,906,1734
七里庄,8,1346,1569
七里庄,9,576,645
七里庄,10,364,414
七里庄,11,339,366
七里庄,12,369,405
七里庄,13,365,433
七里庄,14,416,383
七里庄,15,375,419
七里庄,16,534,508
七里庄,17,910,1103
七里庄,18,1408,858
七里庄,19,1031,436
七里庄,20,575,333
七里庄,21,408,270
七里庄,22,293,93
七里庄,23,74,3
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,0
万安,6,2,8
万安,7,6,28
万安,8,17,26
万安,9,5,13
万安,10,4,3
万安,11,8,5
万安,12,7,9
万安,13,9,7
万安,14,3,13
万安,15,4,9
万安,16,10,5
万安,17,6,17
万安,18,17,12
万安,19,10,4
万安,20,10,2
万安,21,5,4
万安,22,3,0
万安,23,0,0
万寿路,0,0,1
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,1,2
万寿路,5,7,84
万寿路,6,212,582
万寿路,7,1062,2079
万寿路,8,1619,1580
万寿路,9,654,667
万寿路,10,430,353
万寿路,11,390,358
万寿路,12,413,344
万寿路,13,401,481
万寿路,14,423,383
万寿路,15,417,408
万寿路,16,560,562
万寿路,17,1112,1470
万寿路,18,1460,999
万寿路,19,907,569
万寿路,20,494,543
万寿路,21,384,409
万寿路,22,291,153
万寿路,23,79,9
万源街,0,0,1
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,4,31
万源街,6,57,100
万源街,7,393,325
万源街,8,1440,368
万源街,9,497,187
万源街,10,211,169
万源街,11,182,163
万源街,12,173,213
万源街,13,205,190
万源街,14,194,204
万源街,15,211,201
万源街,16,204,370
万源街,17,249,871
万源街,18,432,624
万源街,19,329,256
万源街,20,149,194
万源街,21,107,132
万源街,22,62,64
万源街,23,21,3
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,0
三元桥,5,80,113
三元桥,6,570,1004
三元桥,7,2669,1805
三元桥,8,7278,2364
三元桥,9,4523,1538
三元桥,10,1695,1010
三元桥,11,1129,937
三元桥,12,1126,968
三元桥,13,1202,1010
三元桥,14,1042,954
三元桥,15,987,1091
三元桥,16,1165,1473
三元桥,17,1565,3458
三元桥,18,2237,5103
三元桥,19,1683,2775
三元桥,20,895,1579
三元桥,21,665,1096
三元桥,22,461,523
三元桥,23,109,56
上地,0,0,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,13,144
上地,6,216,1161
上地,7,1529,2202
上地,8,3971,1651
上地,9,2876,998
上地,10,875,562
上地,11,545,528
上地,12,568,648
上地,13,575,601
上地,14,556,545
上地,15,542,563
上地,16,805,755
上地,17,1312,1456
上地,18,1986,2090
上地,19,1586,1598
上地,20,958,1109
上地,21,787,827
上地,22,475,272
上地,23,112,18
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,2,30
上岸,6,26,256
上岸,7,133,648
上岸,8,133,396
上岸,9,71,144
上岸,10,55,76
上岸,11,54,70
上岸,12,53,94
上岸,13,60,60
上岸,14,69,56
上岸,15,83,77
上岸,16,108,80
上岸,17,193,134
上岸,18,411,130
上岸,19,345,26
上岸,20,218,21
上岸,21,175,12
上岸,22,127,4
上岸,23,43,1
东单,0,0,1
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,1
东单,5,77,52
东单,6,1004,118
东单,7,3989,368
东单,8,6918,689
东单,9,3716,880
东单,10,1571,1038
东单,11,948,1134
东单,12,1018,935
东单,13,1194,840
东单,14,881,1100
东单,15,681,1447
东单,16,544,1642
东单,17,681,3875
东单,18,692,4032
东单,19,423,1836
东单,20,202,1283
东单,21,148,932
东单,22,102,515
东单,23,35,40
东四,0,0,1
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,33,66
东四,6,490,233
东四,7,2079,860
东四,8,3075,858
东四,9,1426,572
东四,10,704,470
东四,11,597,495
东四,12,514,529
东四,13,655,610
东四,14,637,650
东四,15,546,1062
东四,16,498,1338
东四,17,656,2531
东四,18,877,1767
东四,19,484,801
东四,20,303,610
东四,21,252,467
东四,22,156,184
东四,23,47,15
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,2
东四十条,5,44,72
东四十条,6,481,284
东四十条,7,2484,961
东四十条,8,6241,908
东四十条,9,3754,629
东四十条,10,1237,581
东四十条,11,713,718
东四十条,12,598,687
东四十条,13,840,714
东四十条,14,686,744
东四十条,15,596,958
东四十条,16,542,1322
东四十条,17,861,3649
东四十条,18,1165,4051
东四十条,19,605,1659
东四十条,20,291,1073
东四十条,21,250,1091
东四十条,22,154,264
东四十条,23,15,10
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,0,4
东夏园,5,1,73
东夏园,6,92,390
东夏园,7,276,706
东夏园,8,648,640
东夏园,9,293,250
东夏园,10,172,128
东夏园,11,97,130
东夏园,12,99,154
东夏园,13,148,198
东夏园,14,145,141
东夏园,15,128,133
东夏园,16,159,223
东夏园,17,332,570
东夏园,18,644,361
东夏园,19,556,143
东夏园,20,288,70
东夏园,21,157,30
东夏园,22,132,13
东夏园,23,55,0
东大桥,0,0,4
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,3
东大桥,5,57,62
东大桥,6,828,269
东大桥,7,2870,742
东大桥,8,6566,883
东大桥,9,5038,796
东大桥,10,1890,799
东大桥,11,1076,836
东大桥,12,1017,774
东大桥,13,1206,862
东大桥,14,1059,1017
东大桥,15,827,1239
东大桥,16,667,1627
东大桥,17,1027,3549
东大桥,18,1112,5098
东大桥,19,701,3048
东大桥,20,379,1809
东大桥,21,286,1450
东大桥,22,150,652
东大桥,23,45,58
东湖渠,0,0,0
东湖渠,1,0,0
