station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,86,59
T2航站楼,7,144,48
T2航站楼,8,147,52
T2航站楼,9,161,130
T2航站楼,10,162,138
T2航站楼,11,155,147
T2航站楼,12,134,158
T2航站楼,13,151,184
T2航站楼,14,136,155
T2航站楼,15,139,181
T2航站楼,16,157,177
T2航站楼,17,161,175
T2航站楼,18,114,207
T2航站楼,19,124,129
T2航站楼,20,137,166
T2航站楼,21,86,98
T2航站楼,22,81,50
T2航站楼,23,13,3
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,148,85
T3航站楼,7,160,59
T3航站楼,8,159,80
T3航站楼,9,177,78
T3航站楼,10,213,119
T3航站楼,11,214,169
T3航站楼,12,160,164
T3航站楼,13,200,229
T3航站楼,14,167,205
T3航站楼,15,180,219
T3航站楼,16,122,184
T3航站楼,17,165,211
T3航站楼,18,183,219
T3航站楼,19,131,154
T3航站楼,20,96,108
T3航站楼,21,97,114
T3航站楼,22,102,97
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,0
七里庄,5,2,79
七里庄,6,81,262
七里庄,7,273,482
七里庄,8,429,567
七里庄,9,394,496
七里庄,10,379,474
七里庄,11,353,404
七里庄,12,368,396
七里庄,13,407,442
七里庄,14,342,431
七里庄,15,399,403
七里庄,16,475,352
七里庄,17,564,452
七里庄,18,605,403
七里庄,19,416,316
七里庄,20,329,258
七里庄,21,338,222
七里庄,22,246,68
七里庄,23,83,3
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,1
万安,6,1,5
万安,7,6,6
万安,8,13,26
万安,9,9,18
万安,10,6,10
万安,11,3,19
万安,12,10,9
万安,13,9,16
万安,14,9,20
万安,15,11,8
万安,16,9,8
万安,17,18,10
万安,18,9,1
万安,19,4,3
万安,20,5,5
万安,21,5,2
万安,22,2,0
万安,23,0,0
万寿路,0,0,2
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,6
万寿路,5,9,75
万寿路,6,137,211
万寿路,7,375,413
万寿路,8,633,514
万寿路,9,525,476
万寿路,10,410,436
万寿路,11,406,427
万寿路,12,417,538
万寿路,13,443,523
万寿路,14,433,487
万寿路,15,451,470
万寿路,16,496,527
万寿路,17,555,661
万寿路,18,528,682
万寿路,19,366,478
万寿路,20,269,448
万寿路,21,303,383
万寿路,22,271,225
万寿路,23,70,12
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,2,33
万源街,6,44,75
万源街,7,173,138
万源街,8,373,164
万源街,9,242,162
万源街,10,193,135
万源街,11,172,122
万源街,12,165,200
万源街,13,179,193
万源街,14,202,159
万源街,15,185,175
万源街,16,205,197
万源街,17,238,320
万源街,18,227,240
万源街,19,179,168
万源街,20,119,154
万源街,21,84,118
万源街,22,70,65
万源街,23,26,8
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,0
三元桥,5,69,161
三元桥,6,455,834
三元桥,7,869,858
三元桥,8,1221,870
三元桥,9,1235,896
三元桥,10,1076,852
三元桥,11,917,845
三元桥,12,1011,811
三元桥,13,1120,923
三元桥,14,1103,1032
三元桥,15,942,956
三元桥,16,1031,960
三元桥,17,1201,1216
三元桥,18,1329,1192
三元桥,19,1107,1018
三元桥,20,630,788
三元桥,21,656,691
三元桥,22,458,445
三元桥,23,142,61
上地,0,0,2
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,7,188
上地,6,114,624
上地,7,515,868
上地,8,880,1007
上地,9,778,867
上地,10,581,822
上地,11,526,581
上地,12,607,864
上地,13,540,618
上地,14,625,629
上地,15,596,592
上地,16,755,747
上地,17,920,884
上地,18,1062,893
上地,19,840,540
上地,20,666,434
上地,21,653,426
上地,22,602,166
上地,23,148,17
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,1,31
上岸,6,23,105
上岸,7,102,169
上岸,8,71,167
上岸,9,50,132
上岸,10,60,118
上岸,11,65,104
上岸,12,74,80
上岸,13,74,93
上岸,14,62,84
上岸,15,90,71
上岸,16,103,83
上岸,17,128,91
上岸,18,144,131
上岸,19,120,50
上岸,20,115,35
上岸,21,100,18
上岸,22,108,7
上岸,23,38,0
东单,0,0,1
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,4
东单,5,37,50
东单,6,301,112
东单,7,880,220
东单,8,1082,302
东单,9,955,439
东单,10,848,403
东单,11,630,461
东单,12,613,387
东单,13,705,485
东单,14,634,553
东单,15,511,547
东单,16,497,703
东单,17,556,896
东单,18,497,736
东单,19,352,616
东单,20,197,634
东单,21,158,611
东单,22,120,458
东单,23,51,40
东四,0,1,2
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,8,44
东四,6,162,158
东四,7,611,282
东四,8,713,438
东四,9,674,426
东四,10,529,384
东四,11,539,433
东四,12,527,454
东四,13,526,432
东四,14,496,518
东四,15,519,587
东四,16,447,633
东四,17,497,953
东四,18,557,654
东四,19,410,386
东四,20,264,488
东四,21,243,391
东四,22,187,248
东四,23,56,29
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,3
东四十条,5,18,109
东四十条,6,198,145
东四十条,7,785,236
东四十条,8,914,362
东四十条,9,893,422
东四十条,10,703,410
东四十条,11,586,484
东四十条,12,549,552
东四十条,13,571,474
东四十条,14,527,558
东四十条,15,486,632
东四十条,16,495,759
东四十条,17,635,857
东四十条,18,660,824
东四十条,19,478,480
东四十条,20,300,467
东四十条,21,261,808
东四十条,22,243,225
东四十条,23,45,18
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,0,9
东夏园,5,0,62
东夏园,6,85,234
东夏园,7,128,331
东夏园,8,183,324
东夏园,9,112,228
东夏园,10,122,164
东夏园,11,97,144
东夏园,12,78,133
东夏园,13,115,146
东夏园,14,111,122
东夏园,15,155,116
东夏园,16,198,134
东夏园,17,224,203
东夏园,18,308,176
东夏园,19,271,84
东夏园,20,154,47
东夏园,21,156,34
东夏园,22,153,17
东夏园,23,67,2
东大桥,0,3,8
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,1
东大桥,5,28,78
东大桥,6,262,146
东大桥,7,930,268
东大桥,8,1485,404
东大桥,9,1333,523
东大桥,10,1027,479
东大桥,11,992,538
东大桥,12,900,636
东大桥,13,1052,619
东大桥,14,928,718
东大桥,15,826,963
东大桥,16,687,1093
东大桥,17,805,1288
东大桥,18,707,1297
东大桥,19,479,985
东大桥,20,371,947
东大桥,21,313,968
东大桥,22,249,599
东大桥,23,76,65
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
东湖渠,3,0,0
东湖渠,4,0,3
东湖渠,5,0,57
东湖渠,6,52,144
东湖渠,7,323,219
东湖渠,8,655,286
