station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,110,97
T2航站楼,7,156,105
T2航站楼,8,172,99
T2航站楼,9,191,199
T2航站楼,10,174,287
T2航站楼,11,146,305
T2航站楼,12,119,284
T2航站楼,13,210,254
T2航站楼,14,188,245
T2航站楼,15,205,250
T2航站楼,16,207,346
T2航站楼,17,193,353
T2航站楼,18,166,296
T2航站楼,19,160,136
T2航站楼,20,148,283
T2航站楼,21,93,254
T2航站楼,22,84,120
T2航站楼,23,15,7
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,114,108
T3航站楼,7,160,70
T3航站楼,8,205,89
T3航站楼,9,185,145
T3航站楼,10,226,278
T3航站楼,11,245,255
T3航站楼,12,207,312
T3航站楼,13,242,360
T3航站楼,14,217,365
T3航站楼,15,239,286
T3航站楼,16,198,318
T3航站楼,17,254,352
T3航站楼,18,224,259
T3航站楼,19,180,288
T3航站楼,20,86,240
T3航站楼,21,95,170
T3航站楼,22,83,74
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,0
七里庄,5,4,46
七里庄,6,71,177
七里庄,7,246,348
七里庄,8,331,423
七里庄,9,278,466
七里庄,10,335,380
七里庄,11,331,335
七里庄,12,296,395
七里庄,13,284,361
七里庄,14,326,349
七里庄,15,388,359
七里庄,16,495,389
七里庄,17,576,441
七里庄,18,531,383
七里庄,19,395,352
七里庄,20,369,263
七里庄,21,317,180
七里庄,22,256,89
七里庄,23,114,2
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,0
万安,6,0,2
万安,7,1,4
万安,8,7,14
万安,9,6,15
万安,10,11,15
万安,11,10,13
万安,12,9,19
万安,13,13,7
万安,14,16,15
万安,15,18,15
万安,16,10,7
万安,17,11,6
万安,18,8,6
万安,19,30,3
万安,20,15,0
万安,21,0,2
万安,22,0,0
万安,23,0,0
万寿路,0,2,4
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,1
万寿路,5,10,58
万寿路,6,84,112
万寿路,7,317,254
万寿路,8,393,387
万寿路,9,368,357
万寿路,10,365,390
万寿路,11,370,341
万寿路,12,374,400
万寿路,13,361,371
万寿路,14,481,426
万寿路,15,424,461
万寿路,16,463,470
万寿路,17,584,545
万寿路,18,507,429
万寿路,19,385,404
万寿路,20,355,313
万寿路,21,310,282
万寿路,22,221,156
万寿路,23,92,4
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,2,28
万源街,6,53,42
万源街,7,118,87
万源街,8,259,129
万源街,9,157,119
万源街,10,142,123
万源街,11,189,106
万源街,12,154,137
万源街,13,167,174
万源街,14,176,134
万源街,15,173,157
万源街,16,198,163
万源街,17,213,188
万源街,18,193,208
万源街,19,152,147
万源街,20,105,111
万源街,21,102,127
万源街,22,65,63
万源街,23,35,4
三元桥,0,0,1
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,0
三元桥,5,46,84
三元桥,6,430,777
三元桥,7,819,734
三元桥,8,875,791
三元桥,9,941,768
三元桥,10,1040,983
三元桥,11,934,850
三元桥,12,1087,933
三元桥,13,1093,1031
三元桥,14,1137,1078
三元桥,15,1099,1070
三元桥,16,1289,1232
三元桥,17,1393,1238
三元桥,18,1491,1347
三元桥,19,1044,908
三元桥,20,899,840
三元桥,21,781,713
三元桥,22,456,362
三元桥,23,164,69
上地,0,2,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,6,124
上地,6,131,404
上地,7,384,535
上地,8,504,666
上地,9,478,636
上地,10,446,657
上地,11,535,498
上地,12,610,532
上地,13,639,493
上地,14,825,475
上地,15,789,498
上地,16,894,493
上地,17,1000,602
上地,18,1138,526
上地,19,906,435
上地,20,767,384
上地,21,696,300
上地,22,646,117
上地,23,218,8
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,1,19
上岸,6,27,68
上岸,7,82,109
上岸,8,61,113
上岸,9,52,110
上岸,10,45,94
上岸,11,40,83
上岸,12,55,90
上岸,13,52,91
上岸,14,78,106
上岸,15,71,70
上岸,16,84,94
上岸,17,107,94
上岸,18,153,103
上岸,19,119,49
上岸,20,100,49
上岸,21,67,20
上岸,22,104,4
上岸,23,35,3
东单,0,0,1
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,0
东单,5,24,52
东单,6,273,64
东单,7,701,166
东单,8,820,276
东单,9,850,325
东单,10,719,416
东单,11,596,359
东单,12,520,372
东单,13,533,366
东单,14,642,440
东单,15,498,528
东单,16,437,721
东单,17,443,846
东单,18,335,551
东单,19,274,509
东单,20,172,522
东单,21,130,394
东单,22,83,329
东单,23,70,22
东四,0,0,4
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,9,35
东四,6,239,106
东四,7,491,183
东四,8,605,319
东四,9,624,332
东四,10,603,331
东四,11,555,368
东四,12,540,409
东四,13,554,495
东四,14,551,593
东四,15,543,638
东四,16,463,701
东四,17,424,1026
东四,18,398,559
东四,19,289,413
东四,20,245,369
东四,21,244,294
东四,22,167,122
东四,23,52,10
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,0
东四十条,5,19,96
东四十条,6,168,148
东四十条,7,538,206
东四十条,8,561,261
东四十条,9,688,301
东四十条,10,509,284
东四十条,11,413,320
东四十条,12,409,428
东四十条,13,506,394
东四十条,14,532,360
东四十条,15,392,473
东四十条,16,413,700
东四十条,17,467,722
东四十条,18,551,540
东四十条,19,412,399
东四十条,20,248,341
东四十条,21,218,575
东四十条,22,159,150
东四十条,23,75,4
东夏园,0,1,2
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,0,2
东夏园,5,0,49
东夏园,6,78,183
东夏园,7,136,237
东夏园,8,150,285
东夏园,9,118,202
东夏园,10,95,121
东夏园,11,103,118
东夏园,12,103,150
东夏园,13,135,147
东夏园,14,154,161
东夏园,15,175,177
东夏园,16,202,217
东夏园,17,303,219
东夏园,18,310,196
东夏园,19,253,116
东夏园,20,174,70
东夏园,21,159,31
东夏园,22,172,11
东夏园,23,76,3
东大桥,0,1,3
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,4
东大桥,5,34,78
东大桥,6,249,117
东大桥,7,727,188
东大桥,8,1097,358
东大桥,9,975,383
东大桥,10,820,393
东大桥,11,794,401
东大桥,12,737,387
东大桥,13,815,538
东大桥,14,813,627
东大桥,15,714,668
东大桥,16,616,898
东大桥,17,663,970
东大桥,18,602,1069
东大桥,19,408,817
东大桥,20,301,771
东大桥,21,238,678
东大桥,22,183,402
东大桥,23,97,41
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
东湖渠,3,0,0
东湖渠,4,0,4
东湖渠,5,3,23
东湖渠,6,43,88
东湖渠,7,191,148
东湖渠,8,327,210
