station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,119,93
T2航站楼,7,236,107
T2航站楼,8,180,63
T2航站楼,9,245,160
T2航站楼,10,174,181
T2航站楼,11,153,141
T2航站楼,12,147,179
T2航站楼,13,164,137
T2航站楼,14,155,123
T2航站楼,15,130,184
T2航站楼,16,101,121
T2航站楼,17,194,215
T2航站楼,18,194,179
T2航站楼,19,179,173
T2航站楼,20,147,184
T2航站楼,21,97,126
T2航站楼,22,83,50
T2航站楼,23,16,5
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,145,105
T3航站楼,7,270,105
T3航站楼,8,259,97
T3航站楼,9,220,111
T3航站楼,10,224,173
T3航站楼,11,223,146
T3航站楼,12,209,162
T3航站楼,13,214,205
T3航站楼,14,196,179
T3航站楼,15,155,168
T3航站楼,16,190,191
T3航站楼,17,217,256
T3航站楼,18,225,225
T3航站楼,19,146,213
T3航站楼,20,108,167
T3航站楼,21,102,151
T3航站楼,22,84,97
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,2
七里庄,5,6,68
七里庄,6,171,688
七里庄,7,946,1815
七里庄,8,1402,1549
七里庄,9,523,655
七里庄,10,406,395
七里庄,11,325,374
七里庄,12,313,379
七里庄,13,317,382
七里庄,14,389,390
七里庄,15,408,392
七里庄,16,525,446
七里庄,17,940,1129
七里庄,18,1465,882
七里庄,19,965,452
七里庄,20,578,292
七里庄,21,436,268
七里庄,22,272,83
七里庄,23,89,2
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,0
万安,6,1,12
万安,7,10,20
万安,8,18,26
万安,9,11,10
万安,10,4,6
万安,11,5,5
万安,12,9,3
万安,13,26,6
万安,14,32,8
万安,15,7,45
万安,16,10,5
万安,17,11,17
万安,18,29,10
万安,19,7,13
万安,20,5,3
万安,21,2,3
万安,22,1,1
万安,23,0,0
万寿路,0,0,0
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,0
万寿路,5,9,85
万寿路,6,219,645
万寿路,7,1024,2039
万寿路,8,1541,1578
万寿路,9,643,614
万寿路,10,400,304
万寿路,11,345,333
万寿路,12,314,339
万寿路,13,357,402
万寿路,14,394,331
万寿路,15,369,433
万寿路,16,527,498
万寿路,17,1079,1367
万寿路,18,1460,906
万寿路,19,827,501
万寿路,20,523,470
万寿路,21,373,388
万寿路,22,245,153
万寿路,23,76,13
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,2,31
万源街,6,66,126
万源街,7,484,330
万源街,8,1445,374
万源街,9,524,197
万源街,10,239,142
万源街,11,192,192
万源街,12,196,206
万源街,13,208,177
万源街,14,211,191
万源街,15,170,175
万源街,16,191,333
万源街,17,282,901
万源街,18,386,664
万源街,19,297,280
万源街,20,171,196
万源街,21,100,112
万源街,22,67,55
万源街,23,23,2
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,1,2
三元桥,5,80,140
三元桥,6,686,1030
三元桥,7,2858,1917
三元桥,8,7511,2386
三元桥,9,4801,1473
三元桥,10,1832,1060
三元桥,11,1170,987
三元桥,12,1145,1017
三元桥,13,1298,1025
三元桥,14,1115,1054
三元桥,15,1058,1177
三元桥,16,1232,1515
三元桥,17,1645,4137
三元桥,18,2476,5299
三元桥,19,1610,2937
三元桥,20,997,1624
三元桥,21,765,1106
三元桥,22,468,487
三元桥,23,130,54
上地,0,0,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,16,134
上地,6,265,990
上地,7,1481,2518
上地,8,4252,2149
上地,9,2842,1112
上地,10,887,631
上地,11,531,478
上地,12,561,532
上地,13,601,549
上地,14,602,499
上地,15,586,555
上地,16,774,707
上地,17,1339,1693
上地,18,2150,2625
上地,19,1699,1837
上地,20,961,1145
上地,21,769,780
上地,22,545,233
上地,23,132,11
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,0,22
上岸,6,31,278
上岸,7,110,675
上岸,8,113,370
上岸,9,71,163
上岸,10,41,80
上岸,11,47,59
上岸,12,44,76
上岸,13,47,74
上岸,14,53,46
上岸,15,65,46
上岸,16,105,76
上岸,17,208,115
上岸,18,435,131
上岸,19,387,42
上岸,20,214,22
上岸,21,155,23
上岸,22,106,10
上岸,23,25,0
东单,0,0,0
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,1
东单,5,63,43
东单,6,891,135
东单,7,3775,370
东单,8,6922,670
东单,9,3722,806
东单,10,1457,952
东单,11,832,1064
东单,12,932,821
东单,13,1121,717
东单,14,862,965
东单,15,615,1291
东单,16,562,1614
东单,17,583,4003
东单,18,652,3859
东单,19,346,1803
东单,20,184,1099
东单,21,126,773
东单,22,85,412
东单,23,47,31
东四,0,0,1
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,24,41
东四,6,455,237
东四,7,1933,796
东四,8,2932,772
东四,9,1326,507
东四,10,659,377
东四,11,437,438
东四,12,450,420
东四,13,564,454
东四,14,517,491
东四,15,455,824
东四,16,468,1187
东四,17,693,2387
东四,18,846,1710
东四,19,467,860
东四,20,298,552
东四,21,257,411
东四,22,185,166
东四,23,64,20
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,0
东四十条,5,39,76
东四十条,6,452,248
东四十条,7,2509,921
东四十条,8,6386,925
东四十条,9,3926,604
东四十条,10,1181,626
东四十条,11,711,706
东四十条,12,633,649
东四十条,13,849,669
东四十条,14,746,726
东四十条,15,632,984
东四十条,16,746,1333
东四十条,17,1180,3693
东四十条,18,1020,4265
东四十条,19,576,1819
东四十条,20,305,1041
东四十条,21,249,1141
东四十条,22,155,596
东四十条,23,26,9
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,1,3
东夏园,5,0,87
东夏园,6,94,345
东夏园,7,305,737
东夏园,8,678,653
东夏园,9,283,255
东夏园,10,142,130
东夏园,11,79,129
东夏园,12,87,139
东夏园,13,116,135
东夏园,14,140,110
东夏园,15,136,126
东夏园,16,170,194
东夏园,17,292,600
东夏园,18,586,346
东夏园,19,584,142
东夏园,20,271,59
东夏园,21,180,37
东夏园,22,143,7
东夏园,23,65,2
东大桥,0,1,0
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,3
东大桥,5,38,51
东大桥,6,863,259
东大桥,7,3003,687
东大桥,8,6575,872
东大桥,9,5082,805
东大桥,10,1822,737
东大桥,11,990,773
东大桥,12,972,752
东大桥,13,1071,917
东大桥,14,941,948
东大桥,15,818,1203
东大桥,16,698,1631
东大桥,17,1143,3672
东大桥,18,1131,5333
东大桥,19,683,2970
东大桥,20,360,1732
东大桥,21,246,1296
东大桥,22,156,696
东大桥,23,55,59
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
