station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,130,36
T2航站楼,7,195,69
T2航站楼,8,139,54
T2航站楼,9,162,105
T2航站楼,10,146,138
T2航站楼,11,113,142
T2航站楼,12,127,110
T2航站楼,13,126,112
T2航站楼,14,148,100
T2航站楼,15,118,101
T2航站楼,16,144,166
T2航站楼,17,191,159
T2航站楼,18,189,220
T2航站楼,19,220,120
T2航站楼,20,157,164
T2航站楼,21,85,99
T2航站楼,22,83,33
T2航站楼,23,17,1
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,169,71
T3航站楼,7,234,96
T3航站楼,8,218,69
T3航站楼,9,255,110
T3航站楼,10,186,109
T3航站楼,11,190,117
T3航站楼,12,199,156
T3航站楼,13,217,188
T3航站楼,14,148,158
T3航站楼,15,177,194
T3航站楼,16,174,169
T3航站楼,17,237,222
T3航站楼,18,258,244
T3航站楼,19,176,180
T3航站楼,20,118,138
T3航站楼,21,114,96
T3航站楼,22,92,63
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,2
七里庄,5,5,85
七里庄,6,145,691
七里庄,7,910,1743
七里庄,8,1374,1605
七里庄,9,572,705
七里庄,10,412,430
七里庄,11,330,357
七里庄,12,354,420
七里庄,13,355,412
七里庄,14,373,415
七里庄,15,366,378
七里庄,16,524,494
七里庄,17,948,1046
七里庄,18,1491,854
七里庄,19,991,477
七里庄,20,649,368
七里庄,21,421,280
七里庄,22,335,85
七里庄,23,91,9
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,0
万安,6,1,11
万安,7,6,23
万安,8,16,21
万安,9,34,13
万安,10,9,8
万安,11,7,10
万安,12,8,4
万安,13,6,6
万安,14,2,4
万安,15,7,14
万安,16,2,6
万安,17,9,17
万安,18,23,24
万安,19,15,2
万安,20,5,6
万安,21,6,3
万安,22,7,6
万安,23,0,0
万寿路,0,0,0
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,2
万寿路,5,11,92
万寿路,6,197,666
万寿路,7,990,2032
万寿路,8,1497,1566
万寿路,9,650,670
万寿路,10,429,339
万寿路,11,332,317
万寿路,12,366,373
万寿路,13,383,424
万寿路,14,428,371
万寿路,15,481,431
万寿路,16,518,543
万寿路,17,1086,1361
万寿路,18,1440,980
万寿路,19,824,509
万寿路,20,492,592
万寿路,21,373,462
万寿路,22,296,128
万寿路,23,76,10
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,2,37
万源街,6,51,101
万源街,7,418,317
万源街,8,1402,360
万源街,9,484,229
万源街,10,234,172
万源街,11,168,182
万源街,12,166,181
万源街,13,207,177
万源街,14,203,161
万源街,15,167,203
万源街,16,174,305
万源街,17,249,831
万源街,18,383,618
万源街,19,305,264
万源街,20,160,207
万源街,21,112,128
万源街,22,62,55
万源街,23,23,7
三元桥,0,0,0
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,0
三元桥,5,79,125
三元桥,6,646,964
三元桥,7,2591,1828
三元桥,8,7176,2509
三元桥,9,4664,1498
三元桥,10,1666,930
三元桥,11,1137,872
三元桥,12,1099,1034
三元桥,13,1201,985
三元桥,14,1088,1013
三元桥,15,1025,1171
三元桥,16,1145,1518
三元桥,17,1700,4036
三元桥,18,2441,5126
三元桥,19,1714,2838
三元桥,20,942,1767
三元桥,21,798,1067
三元桥,22,404,486
三元桥,23,111,65
上地,0,0,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,9,156
上地,6,215,1043
上地,7,1404,2464
上地,8,4164,2146
上地,9,2850,1182
上地,10,910,609
上地,11,533,537
上地,12,561,651
上地,13,624,595
上地,14,570,541
上地,15,561,585
上地,16,843,799
上地,17,1229,1800
上地,18,2082,2573
上地,19,1673,1863
上地,20,928,1198
上地,21,807,812
上地,22,574,276
上地,23,133,14
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,0,31
上岸,6,29,257
上岸,7,115,647
上岸,8,102,429
上岸,9,65,122
上岸,10,64,74
上岸,11,56,60
上岸,12,56,88
上岸,13,59,88
上岸,14,61,60
上岸,15,78,71
上岸,16,86,96
上岸,17,221,117
上岸,18,429,126
上岸,19,359,57
上岸,20,208,31
上岸,21,180,17
上岸,22,110,3
上岸,23,35,1
东单,0,1,0
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,0,2
东单,5,62,39
东单,6,962,117
东单,7,3728,408
东单,8,6666,690
东单,9,3678,803
东单,10,1581,929
东单,11,972,1081
东单,12,1012,835
东单,13,1148,839
东单,14,965,1021
东单,15,616,1207
东单,16,528,1703
东单,17,731,3844
东单,18,688,3603
东单,19,390,1753
东单,20,194,1211
东单,21,151,1000
东单,22,102,561
东单,23,41,49
东四,0,0,0
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,21,41
东四,6,460,266
东四,7,2008,837
东四,8,2824,809
东四,9,1301,528
东四,10,761,505
东四,11,518,485
东四,12,485,444
东四,13,605,508
东四,14,566,594
东四,15,505,768
东四,16,521,1211
东四,17,680,2564
东四,18,994,1654
东四,19,530,851
东四,20,279,622
东四,21,281,417
东四,22,206,294
东四,23,58,27
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,4
东四十条,5,25,82
东四十条,6,471,257
东四十条,7,2390,915
东四十条,8,6318,918
东四十条,9,3727,606
东四十条,10,1306,680
东四十条,11,689,680
东四十条,12,686,687
东四十条,13,835,672
东四十条,14,710,750
东四十条,15,606,967
东四十条,16,599,1489
东四十条,17,934,3708
东四十条,18,1133,4069
东四十条,19,630,1743
东四十条,20,337,1081
东四十条,21,270,1012
东四十条,22,141,329
东四十条,23,27,16
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,1,3
东夏园,5,0,84
东夏园,6,99,387
东夏园,7,255,786
东夏园,8,684,687
东夏园,9,344,335
东夏园,10,136,155
东夏园,11,95,143
东夏园,12,85,165
东夏园,13,145,146
东夏园,14,94,120
东夏园,15,129,137
东夏园,16,165,232
东夏园,17,295,546
东夏园,18,601,377
东夏园,19,562,126
东夏园,20,257,64
东夏园,21,201,30
东夏园,22,169,16
东夏园,23,67,1
东大桥,0,0,5
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,0
东大桥,5,51,61
东大桥,6,811,253
东大桥,7,3012,674
东大桥,8,6412,826
东大桥,9,5064,825
东大桥,10,1840,768
东大桥,11,1056,868
东大桥,12,996,806
东大桥,13,1155,891
东大桥,14,979,1020
东大桥,15,748,1227
东大桥,16,778,1703
东大桥,17,1021,3797
东大桥,18,1232,4973
东大桥,19,619,2840
东大桥,20,420,1794
东大桥,21,259,1379
东大桥,22,155,744
东大桥,23,76,68
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
