station,hour,in_count,out_count
T2航站楼,0,0,0
T2航站楼,1,0,0
T2航站楼,2,0,0
T2航站楼,3,0,0
T2航站楼,4,0,0
T2航站楼,5,0,0
T2航站楼,6,106,75
T2航站楼,7,197,98
T2航站楼,8,251,120
T2航站楼,9,213,180
T2航站楼,10,252,299
T2航站楼,11,176,210
T2航站楼,12,167,215
T2航站楼,13,185,191
T2航站楼,14,167,186
T2航站楼,15,147,189
T2航站楼,16,179,195
T2航站楼,17,179,271
T2航站楼,18,151,244
T2航站楼,19,179,200
T2航站楼,20,156,235
T2航站楼,21,98,210
T2航站楼,22,71,64
T2航站楼,23,12,6
T3航站楼,0,0,0
T3航站楼,1,0,0
T3航站楼,2,0,0
T3航站楼,3,0,0
T3航站楼,4,0,0
T3航站楼,5,0,0
T3航站楼,6,144,126
T3航站楼,7,247,127
T3航站楼,8,272,148
T3航站楼,9,261,141
T3航站楼,10,262,156
T3航站楼,11,199,198
T3航站楼,12,261,250
T3航站楼,13,216,262
T3航站楼,14,242,243
T3航站楼,15,217,186
T3航站楼,16,226,188
T3航站楼,17,251,261
T3航站楼,18,203,237
T3航站楼,19,177,338
T3航站楼,20,94,178
T3航站楼,21,114,184
T3航站楼,22,93,134
T3航站楼,23,0,0
七里庄,0,0,0
七里庄,1,0,0
七里庄,2,0,0
七里庄,3,0,0
七里庄,4,0,1
七里庄,5,4,75
七里庄,6,171,653
七里庄,7,810,1581
七里庄,8,1301,1415
七里庄,9,486,567
七里庄,10,329,357
七里庄,11,288,286
七里庄,12,285,323
七里庄,13,270,343
七里庄,14,295,325
七里庄,15,356,325
七里庄,16,443,398
七里庄,17,870,976
七里庄,18,1335,802
七里庄,19,945,380
七里庄,20,492,272
七里庄,21,406,227
七里庄,22,282,65
七里庄,23,73,1
万安,0,0,0
万安,1,0,0
万安,2,0,0
万安,3,0,0
万安,4,0,0
万安,5,0,1
万安,6,2,9
万安,7,8,32
万安,8,16,24
万安,9,20,10
万安,10,5,5
万安,11,7,10
万安,12,6,11
万安,13,6,3
万安,14,9,9
万安,15,10,11
万安,16,3,9
万安,17,12,6
万安,18,21,12
万安,19,20,4
万安,20,9,6
万安,21,2,5
万安,22,0,1
万安,23,0,0
万寿路,0,0,2
万寿路,1,0,0
万寿路,2,0,0
万寿路,3,0,0
万寿路,4,0,2
万寿路,5,12,107
万寿路,6,209,604
万寿路,7,945,1865
万寿路,8,1437,1347
万寿路,9,578,543
万寿路,10,410,318
万寿路,11,353,253
万寿路,12,325,345
万寿路,13,319,365
万寿路,14,343,296
万寿路,15,383,385
万寿路,16,433,496
万寿路,17,970,1285
万寿路,18,1436,888
万寿路,19,774,476
万寿路,20,415,404
万寿路,21,324,430
万寿路,22,278,128
万寿路,23,80,7
万源街,0,0,0
万源街,1,0,0
万源街,2,0,0
万源街,3,0,0
万源街,4,0,0
万源街,5,2,18
万源街,6,75,113
万源街,7,404,280
万源街,8,1365,298
万源街,9,445,191
万源街,10,162,123
万源街,11,161,114
万源街,12,155,185
万源街,13,183,142
万源街,14,176,175
万源街,15,170,162
万源街,16,187,271
万源街,17,239,819
万源街,18,355,604
万源街,19,324,233
万源街,20,157,168
万源街,21,87,116
万源街,22,70,57
万源街,23,34,5
三元桥,0,0,1
三元桥,1,0,0
三元桥,2,0,0
三元桥,3,0,0
三元桥,4,0,0
三元桥,5,80,159
三元桥,6,727,992
三元桥,7,2723,1819
三元桥,8,6926,2236
三元桥,9,4063,1462
三元桥,10,1648,1024
三元桥,11,1138,959
三元桥,12,1179,1086
三元桥,13,1189,1002
三元桥,14,1114,1053
三元桥,15,1122,1141
三元桥,16,1073,1386
三元桥,17,1611,3890
三元桥,18,2337,4986
三元桥,19,1665,2771
三元桥,20,1056,1601
三元桥,21,841,1042
三元桥,22,488,464
三元桥,23,157,94
上地,0,0,0
上地,1,0,0
上地,2,0,0
上地,3,0,0
上地,4,0,0
上地,5,14,144
上地,6,363,984
上地,7,1547,2119
上地,8,4327,1848
上地,9,2567,1054
上地,10,839,537
上地,11,532,424
上地,12,576,542
上地,13,634,509
上地,14,583,487
上地,15,572,492
上地,16,798,644
上地,17,1240,1687
上地,18,1993,2419
上地,19,1771,1763
上地,20,1008,1121
上地,21,717,650
上地,22,474,194
上地,23,143,6
上岸,0,0,0
上岸,1,0,0
上岸,2,0,0
上岸,3,0,0
上岸,4,0,0
上岸,5,1,39
上岸,6,28,244
上岸,7,115,600
上岸,8,92,352
上岸,9,63,119
上岸,10,48,77
上岸,11,33,76
上岸,12,43,67
上岸,13,53,52
上岸,14,56,64
上岸,15,68,53
上岸,16,91,67
上岸,17,178,110
上岸,18,397,107
上岸,19,402,49
上岸,20,161,26
上岸,21,145,16
上岸,22,91,5
上岸,23,42,2
东单,0,0,0
东单,1,0,0
东单,2,0,0
东单,3,0,0
东单,4,1,3
东单,5,47,53
东单,6,719,111
东单,7,3242,371
东单,8,5890,557
东单,9,3053,641
东单,10,1110,709
东单,11,613,697
东单,12,601,560
东单,13,785,533
东单,14,636,711
东单,15,505,866
东单,16,478,1135
东单,17,603,3451
东单,18,567,3311
东单,19,340,1512
东单,20,169,940
东单,21,159,742
东单,22,96,531
东单,23,40,39
东四,0,0,0
东四,1,0,0
东四,2,0,0
东四,3,0,0
东四,4,0,0
东四,5,21,55
东四,6,415,230
东四,7,1850,718
东四,8,2631,670
东四,9,1150,415
东四,10,611,394
东四,11,393,371
东四,12,403,388
东四,13,507,442
东四,14,469,550
东四,15,458,852
东四,16,425,1159
东四,17,571,2462
东四,18,795,1556
东四,19,434,731
东四,20,285,462
东四,21,208,316
东四,22,159,154
东四,23,67,15
东四十条,0,0,0
东四十条,1,0,0
东四十条,2,0,0
东四十条,3,0,0
东四十条,4,0,3
东四十条,5,34,72
东四十条,6,407,259
东四十条,7,2189,783
东四十条,8,5867,753
东四十条,9,3134,427
东四十条,10,1043,423
东四十条,11,602,524
东四十条,12,527,472
东四十条,13,675,500
东四十条,14,601,567
东四十条,15,468,743
东四十条,16,406,1210
东四十条,17,741,3481
东四十条,18,1124,3990
东四十条,19,584,1656
东四十条,20,243,782
东四十条,21,255,812
东四十条,22,140,218
东四十条,23,26,9
东夏园,0,0,0
东夏园,1,0,0
东夏园,2,0,0
东夏园,3,0,0
东夏园,4,0,4
东夏园,5,1,100
东夏园,6,129,363
东夏园,7,290,693
东夏园,8,622,572
东夏园,9,255,220
东夏园,10,123,112
东夏园,11,103,95
东夏园,12,98,128
东夏园,13,94,111
东夏园,14,122,119
东夏园,15,105,156
东夏园,16,144,215
东夏园,17,275,586
东夏园,18,550,309
东夏园,19,535,137
东夏园,20,243,63
东夏园,21,176,24
东夏园,22,135,9
东夏园,23,78,0
东大桥,0,0,1
东大桥,1,0,0
东大桥,2,0,0
东大桥,3,0,0
东大桥,4,0,4
东大桥,5,46,69
东大桥,6,851,231
东大桥,7,2686,624
东大桥,8,5954,707
东大桥,9,4255,621
东大桥,10,1504,614
东大桥,11,946,596
东大桥,12,860,584
东大桥,13,876,682
东大桥,14,818,815
东大桥,15,678,958
东大桥,16,593,1358
东大桥,17,874,3474
东大桥,18,1009,4833
东大桥,19,629,2659
东大桥,20,338,1607
东大桥,21,214,1076
东大桥,22,155,563
东大桥,23,40,47
东湖渠,0,0,0
东湖渠,1,0,0
东湖渠,2,0,0
东湖渠,3,0,0
